Song_name,Album_name
Naakka Mukka,Kadhalil Vizhundhen
Padichi Parthen,Polladhavan (Original Motion Picture Soundtrack)
Alwarpetyai Aaluda,Vasool Raja Mbbs (Original Motion Picture Soundtrack)
Kanadhasan Karaikudi,Anjathe (Original Motion Picture Soundtrack)
Aadunga Da,Naadodigal (Original Motion Picture Soundtrack)
Madera Kulunga,Subramaniapuram (Original Motion Picture Soundtrack)
Vaadi Vaadi,Sachien
Pia.. Pia..,Ninaithale Inikkum (Original Motion Picture Soundtrack)
No Money No Honey,Vaanam (Original Motion Picture Soundtrack)
Mannarkudi Kalakalakka,Sivappathigaram (Original Motion Picture Soundtrack)
Oru Porambokku,Oru Porambokku
Kumbeda Ponna Thaivam,Thiruppatchi (Original Motion Picture Soundtrack)
Otha Sollaala,Aadukalam (Original Motion Picture Soundtrack)
"Local Boys (From ""Ethir Neechal"")",Mass Level : Anirudh Ravichander
Mudher Kanave,Majunu (Original Motion Picture Soundtrack)
